,city,latitude,temperature,humidity,cloud,wind speed
0,Dikson,73.51,33.46,98,100,16.58
1,Saint-Philippe,45.36,69.19,82,1,8.46
2,Amazar,53.86,74.32,55,42,3.04
3,Thinadhoo,0.53,82.78,76,100,16.26
4,Necochea,-38.55,42.01,96,0,1.99
5,Jamestown,-33.21,53.26,83,92,5.08
6,Mataura,-46.19,44.01,95,100,5.01
7,Montepuez,-13.13,59.38,94,61,5.57
8,Kaitangata,-46.28,50.0,63,100,5.99
9,Jijiga,9.35,58.12,92,94,12.97
10,Mahibadhoo,3.78,83.86,71,100,13.53
11,Mar del Plata,-46.43,44.98,68,100,18.19
12,Punta Arenas,-53.16,40.06,75,40,21.92
13,Bluff,-23.58,63.52,37,95,7.67
14,Albany,42.65,65.07,82,1,4.7
15,Angoram,-4.06,89.08,57,44,3.18
16,Melfi,41.0,69.8,88,75,3.36
17,Namibe,-15.19,66.94,74,0,7.31
18,Yarada,17.65,82.4,78,20,6.93
19,Bilibino,68.06,46.42,58,41,20.78
20,Georgetown,6.8,77.67,83,40,4.7
21,Kasane,-17.8,47.86,57,0,6.17
22,Saint-Philippe,45.36,69.19,82,1,8.46
23,Mataura,-46.19,44.01,95,100,5.01
24,Albany,42.65,65.07,82,1,4.7
25,Hobart,-42.88,55.69,54,75,13.87
26,Torbay,47.66,51.66,100,90,13.87
27,Meulaboh,4.14,80.98,76,53,6.55
28,Kapaa,22.08,83.88,66,20,14.99
29,Bluff,-23.58,63.52,37,95,7.67
30,Kamina,-8.74,58.3,48,45,5.99
31,Yellowknife,62.45,75.07,44,75,8.05
32,Changping,40.22,82.4,65,100,4.47
33,Faanui,-16.48,77.38,77,0,16.28
34,Vaini,15.34,71.6,94,40,4.7
35,Flin Flon,54.77,62.44,58,48,6.46
36,Lydenburg,-25.1,46.0,84,0,1.3
37,Saint-Philippe,45.36,69.19,82,1,8.46
38,Tevaitoa,-16.78,77.02,78,0,16.22
39,New Norfolk,-42.78,55.69,54,75,13.87
40,Norman Wells,65.28,78.8,50,75,6.93
41,Nome,30.04,82.15,94,1,6.93
42,Buctzotz,21.2,82.24,80,9,20.54
43,Avarua,-21.21,75.2,60,18,16.11
44,Shimoda,34.7,69.06,100,75,17.22
45,Sumbe,-11.2,70.36,81,100,0.85
46,Riyadh,24.63,82.4,12,0,5.82
47,Hermanus,-34.42,52.45,90,0,3.0
48,Hithadhoo,-0.6,82.06,77,96,19.46
49,Sao Joao da Barra,-21.64,68.02,75,38,0.89
50,Sao Jose da Coroa Grande,-8.9,67.12,91,96,2.98
51,Saint Andrews,-44.53,51.26,72,3,3.0
